Player.Name,Finisher.Score
MS Dhoni,28.57
AD Mathews,20.69
MG Bevan,20.00
MEK Hussey,18.52
L Klusener,18.18
A Ranatunga,17.86
Javed Miandad,17.78
JN Rhodes,17.54
Abdul Razzaq,16.22
Saleem Malik,15.09
SK Raina,14.55
Yuvraj Singh,14.29
Mohammad Yousuf,14.29
WJ Cronje,13.95
MW Gatting,13.79
DJ Bravo,13.79
MV Boucher,13.73
PD Collingwood,12.50
EJG Morgan,11.90
RR Sarwan,11.90
Inzamam-ul-Haq,11.84
Shoaib Malik,11.54
AR Border,10.87
Misbah-ul-Haq,10.53
NJ Astle,10.42
KP Pietersen,10.00
M Azharuddin,10.00
PJL Dujon,9.68
HP Tillakaratne,9.68
MD Crowe,9.38
PA de Silva,9.09
R Dravid,8.82
CD McMillan,8.70
AJ Lamb,8.57
CL Hooper,8.51
A Symonds,7.69
Imran Khan,7.69
MJ Clarke,7.55
AL Logie,7.50
SR Waugh,7.41
GR Marsh,7.41
JP Duminy,7.32
L Ronchi,7.14
CZ Harris,7.14
S Chanderpaul,6.90
DB Vengsarkar,6.90
SR Watson,6.82
ME Trescothick,6.67
HA Gomes,6.67
GA Hick,6.45
DR Martyn,6.38
DM Jones,6.25
RG Sharma,5.88
AJ Stewart,5.41
CL Cairns,5.41
SB Styris,5.41
BB McCullum,5.26
AB de Villiers,5.17
BC Lara,5.13
DJ Cullinan,5.00
JH Kallis,5.00
Rameez Raja,4.65
RS Mahanama,4.44
KC Wessels,4.17
RB Richardson,4.11
VG Kambli,3.85
F du Plessis,3.70
KC Sangakkara,3.66
IVA Richards,3.45
Saeed Anwar,3.39
MS Atapattu,3.39
A Flintoff,3.33
V Kohli,3.33
TM Dilshan,3.33
SP Fleming,3.23
Younis Khan,3.17
HH Dippenaar,3.13
GA Gooch,3.03
AJ Strauss,3.03
Wasim Akram,3.03
IR Bell,2.78
MJ Guptill,2.78
SC Ganguly,2.74
NS Sidhu,2.70
Shahid Afridi,2.67
Aamer Sohail,2.56
N Kapil Dev,2.50
DPMD Jayawardene,2.47
SR Tendulkar,2.42
DC Boon,2.33
Ijaz Ahmed,2.00
GC Smith,1.72
G Kirsten,1.69
ME Waugh,1.64
CH Gayle,1.64
ST Jayasuriya,0.97
RT Ponting,0.96
